slot_id,engine,loop,step,terrain,nickname,axis6_sign,operator,candidate_word,formal_schedule,is_source_canonical,canonical_token,canonical_math,igt_quadrant,canonical_result_label,claim_ceiling
T1-O1,Type1_left,outer_deductive,1,Se-in,Funnel,up,Ti,TiSe,Φ_Se-in(Ti(ρ)),True,TiSe,Φ_Se-in(Ti(ρ)),LoseWin,LOSE,source_schedule_table; dynamic distinctness separate
T1-I3,Type1_left,inner_inductive,3,Ni-in,Pit,up,Ti,TiNi,Φ_Ni-in(Ti(ρ)),False,TeNi,Φ_Ni-in(Te(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T1-I3,Type1_left,inner_inductive,3,Ni-in,Pit,up,Te,TeNi,Φ_Ni-in(Te(ρ)),True,TeNi,Φ_Ni-in(Te(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T1-I3,Type1_left,inner_inductive,3,Ni-in,Pit,up,Fi,FiNi,Φ_Ni-in(Fi(ρ)),False,TeNi,Φ_Ni-in(Te(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T1-I3,Type1_left,inner_inductive,3,Ni-in,Pit,up,Fe,FeNi,Φ_Ni-in(Fe(ρ)),False,TeNi,Φ_Ni-in(Te(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T1-I4,Type1_left,inner_inductive,4,Ne-in,Vortex,up,Ti,TiNe,Φ_Ne-in(Ti(ρ)),False,FiNe,Φ_Ne-in(Fi(ρ)),WinLose,lose,source_schedule_table; dynamic distinctness separate
T1-I4,Type1_left,inner_inductive,4,Ne-in,Vortex,up,Te,TeNe,Φ_Ne-in(Te(ρ)),False,FiNe,Φ_Ne-in(Fi(ρ)),WinLose,lose,source_schedule_table; dynamic distinctness separate
T1-I4,Type1_left,inner_inductive,4,Ne-in,Vortex,up,Fi,FiNe,Φ_Ne-in(Fi(ρ)),True,FiNe,Φ_Ne-in(Fi(ρ)),WinLose,lose,source_schedule_table; dynamic distinctness separate
T1-I4,Type1_left,inner_inductive,4,Ne-in,Vortex,up,Fe,FeNe,Φ_Ne-in(Fe(ρ)),False,FiNe,Φ_Ne-in(Fi(ρ)),WinLose,lose,source_schedule_table; dynamic distinctness separate
T2-O1,Type2_right,outer_inductive,1,Se-out,Cannon,up,Ti,TiSe,Φ_Se-out(Ti(ρ)),False,FiSe,Φ_Se-out(Fi(ρ)),LoseWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O1,Type2_right,outer_inductive,1,Se-out,Cannon,up,Te,TeSe,Φ_Se-out(Te(ρ)),False,FiSe,Φ_Se-out(Fi(ρ)),LoseWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O1,Type2_right,outer_inductive,1,Se-out,Cannon,up,Fi,FiSe,Φ_Se-out(Fi(ρ)),True,FiSe,Φ_Se-out(Fi(ρ)),LoseWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O1,Type2_right,outer_inductive,1,Se-out,Cannon,up,Fe,FeSe,Φ_Se-out(Fe(ρ)),False,FiSe,Φ_Se-out(Fi(ρ)),LoseWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O2,Type2_right,outer_inductive,2,Si-out,Citadel,up,Ti,TiSi,Φ_Si-out(Ti(ρ)),False,TeSi,Φ_Si-out(Te(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O2,Type2_right,outer_inductive,2,Si-out,Citadel,up,Te,TeSi,Φ_Si-out(Te(ρ)),True,TeSi,Φ_Si-out(Te(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O2,Type2_right,outer_inductive,2,Si-out,Citadel,up,Fi,FiSi,Φ_Si-out(Fi(ρ)),False,TeSi,Φ_Si-out(Te(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O2,Type2_right,outer_inductive,2,Si-out,Citadel,up,Fe,FeSi,Φ_Si-out(Fe(ρ)),False,TeSi,Φ_Si-out(Te(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T2-O3,Type2_right,outer_inductive,3,Ni-out,Source,down,Ti,NiTi,Ti(Φ_Ni-out(ρ)),False,NiTe,Te(Φ_Ni-out(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-O3,Type2_right,outer_inductive,3,Ni-out,Source,down,Te,NiTe,Te(Φ_Ni-out(ρ)),True,NiTe,Te(Φ_Ni-out(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-O3,Type2_right,outer_inductive,3,Ni-out,Source,down,Fi,NiFi,Fi(Φ_Ni-out(ρ)),False,NiTe,Te(Φ_Ni-out(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-O3,Type2_right,outer_inductive,3,Ni-out,Source,down,Fe,NiFe,Fe(Φ_Ni-out(ρ)),False,NiTe,Te(Φ_Ni-out(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-O4,Type2_right,outer_inductive,4,Ne-out,Spiral,down,Ti,NeTi,Ti(Φ_Ne-out(ρ)),False,NeFi,Fi(Φ_Ne-out(ρ)),WinLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-O4,Type2_right,outer_inductive,4,Ne-out,Spiral,down,Te,NeTe,Te(Φ_Ne-out(ρ)),False,NeFi,Fi(Φ_Ne-out(ρ)),WinLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-O4,Type2_right,outer_inductive,4,Ne-out,Spiral,down,Fi,NeFi,Fi(Φ_Ne-out(ρ)),True,NeFi,Fi(Φ_Ne-out(ρ)),WinLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-O4,Type2_right,outer_inductive,4,Ne-out,Spiral,down,Fe,NeFe,Fe(Φ_Ne-out(ρ)),False,NeFi,Fi(Φ_Ne-out(ρ)),WinLose,LOSE,source_schedule_table; dynamic distinctness separate
T2-I1,Type2_right,inner_deductive,1,Se-out,Cannon,down,Ti,SeTi,Ti(Φ_Se-out(ρ)),True,SeTi,Ti(Φ_Se-out(ρ)),LoseWin,lose,source_schedule_table; dynamic distinctness separate
T2-I1,Type2_right,inner_deductive,1,Se-out,Cannon,down,Te,SeTe,Te(Φ_Se-out(ρ)),False,SeTi,Ti(Φ_Se-out(ρ)),LoseWin,lose,source_schedule_table; dynamic distinctness separate
T2-I1,Type2_right,inner_deductive,1,Se-out,Cannon,down,Fi,SeFi,Fi(Φ_Se-out(ρ)),False,SeTi,Ti(Φ_Se-out(ρ)),LoseWin,lose,source_schedule_table; dynamic distinctness separate
T2-I1,Type2_right,inner_deductive,1,Se-out,Cannon,down,Fe,SeFe,Fe(Φ_Se-out(ρ)),False,SeTi,Ti(Φ_Se-out(ρ)),LoseWin,lose,source_schedule_table; dynamic distinctness separate
T2-I2,Type2_right,inner_deductive,2,Ne-out,Spiral,up,Ti,TiNe,Φ_Ne-out(Ti(ρ)),True,TiNe,Φ_Ne-out(Ti(ρ)),WinLose,win,source_schedule_table; dynamic distinctness separate
T2-I2,Type2_right,inner_deductive,2,Ne-out,Spiral,up,Te,TeNe,Φ_Ne-out(Te(ρ)),False,TiNe,Φ_Ne-out(Ti(ρ)),WinLose,win,source_schedule_table; dynamic distinctness separate
T2-I2,Type2_right,inner_deductive,2,Ne-out,Spiral,up,Fi,FiNe,Φ_Ne-out(Fi(ρ)),False,TiNe,Φ_Ne-out(Ti(ρ)),WinLose,win,source_schedule_table; dynamic distinctness separate
T2-I2,Type2_right,inner_deductive,2,Ne-out,Spiral,up,Fe,FeNe,Φ_Ne-out(Fe(ρ)),False,TiNe,Φ_Ne-out(Ti(ρ)),WinLose,win,source_schedule_table; dynamic distinctness separate
T2-I3,Type2_right,inner_deductive,3,Ni-out,Source,up,Ti,TiNi,Φ_Ni-out(Ti(ρ)),False,FeNi,Φ_Ni-out(Fe(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T2-I3,Type2_right,inner_deductive,3,Ni-out,Source,up,Te,TeNi,Φ_Ni-out(Te(ρ)),False,FeNi,Φ_Ni-out(Fe(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T2-I3,Type2_right,inner_deductive,3,Ni-out,Source,up,Fi,FiNi,Φ_Ni-out(Fi(ρ)),False,FeNi,Φ_Ni-out(Fe(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T2-I3,Type2_right,inner_deductive,3,Ni-out,Source,up,Fe,FeNi,Φ_Ni-out(Fe(ρ)),True,FeNi,Φ_Ni-out(Fe(ρ)),LoseLose,lose,source_schedule_table; dynamic distinctness separate
T2-I4,Type2_right,inner_deductive,4,Si-out,Citadel,down,Ti,SiTi,Ti(Φ_Si-out(ρ)),False,SiFe,Fe(Φ_Si-out(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
T2-I4,Type2_right,inner_deductive,4,Si-out,Citadel,down,Te,SiTe,Te(Φ_Si-out(ρ)),False,SiFe,Fe(Φ_Si-out(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
T2-I4,Type2_right,inner_deductive,4,Si-out,Citadel,down,Fi,SiFi,Fi(Φ_Si-out(ρ)),False,SiFe,Fe(Φ_Si-out(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
T2-I4,Type2_right,inner_deductive,4,Si-out,Citadel,down,Fe,SiFe,Fe(Φ_Si-out(ρ)),True,SiFe,Fe(Φ_Si-out(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
